Localisation;Service;Fréquence Min (MHz);Fréquence Max (MHz);Preset
PC1 - PARIS CENTRE 1;Private_Mobile_Radio;165.44375;165.53125;Oui
PC1 - PARIS CENTRE 1;Private_Mobile_Radio;165.54375;165.64375;Oui
PC1 - PARIS CENTRE 1;Private_Mobile_Radio;165.65625;165.68125;Oui
PC1 - PARIS CENTRE 1;Private_Mobile_Radio;165.69375;165.71875;Oui
PC1 - PARIS CENTRE 1;Private_Mobile_Radio;165.74375;165.79375;Oui
PC1 - PARIS CENTRE 1;Private_Mobile_Radio;165.85625;165.90625;Oui
PC1 - PARIS CENTRE 1;Private_Mobile_Radio;165.91875;166.00625;Oui
PC1 - PARIS CENTRE 1;Private_Mobile_Radio;166.01875;166.13125;Oui
PC1 - PARIS CENTRE 1;Private_Mobile_Radio;166.14375;166.24375;Oui
PC1 - PARIS CENTRE 1;Private_Mobile_Radio;166.25625;166.35625;Oui
PC1 - PARIS CENTRE 1;Private_Mobile_Radio;166.36875;166.38125;Oui
PC1 - PARIS CENTRE 1;Private_Mobile_Radio;166.39375;166.41875;Oui
PC1 - PARIS CENTRE 1;Private_Mobile_Radio;166.43125;166.50625;Oui
PC1 - PARIS CENTRE 1;Private_Mobile_Radio;166.51875;166.56875;Oui
PC1 - PARIS CENTRE 1;Private_Mobile_Radio;166.58125;166.61875;Oui
PC1 - PARIS CENTRE 1;Private_Mobile_Radio;166.63125;166.65625;Oui
PC1 - PARIS CENTRE 1;Private_Mobile_Radio;166.66875;166.68125;Oui
PC1 - PARIS CENTRE 1;Private_Mobile_Radio;166.69375;166.70625;Oui
PC1 - PARIS CENTRE 1;Private_Mobile_Radio;166.74375;166.75625;Oui
PC1 - PARIS CENTRE 1;Private_Mobile_Radio;166.88125;166.90625;Oui
PC1 - PARIS CENTRE 1;Private_Mobile_Radio;166.93125;166.95625;Oui
PC1 - PARIS CENTRE 1;Private_Mobile_Radio;167.06875;167.08125;Oui
PC1 - PARIS CENTRE 1;Private_Mobile_Radio;167.09375;167.10625;Oui
PC1 - PARIS CENTRE 1;Private_Mobile_Radio;167.11875;167.13125;Oui
PC1 - PARIS CENTRE 1;Private_Mobile_Radio;167.18125;167.20625;Oui
PC1 - PARIS CENTRE 1;Private_Mobile_Radio;167.21875;167.40625;Oui
PC1 - PARIS CENTRE 1;Private_Mobile_Radio;167.41875;167.43125;Oui
PC1 - PARIS CENTRE 1;Private_Mobile_Radio;167.48125;167.53125;Oui
PC1 - PARIS CENTRE 1;Private_Mobile_Radio;167.54375;167.56875;Oui
PC1 - PARIS CENTRE 1;Private_Mobile_Radio;167.58125;167.65625;Oui
PC1 - PARIS CENTRE 1;Private_Mobile_Radio;167.69375;167.71875;Oui
PC1 - PARIS CENTRE 1;Private_Mobile_Radio;167.75625;167.78125;Oui
PC1 - PARIS CENTRE 1;Private_Mobile_Radio;167.79375;167.84375;Oui
PC1 - PARIS CENTRE 1;Private_Mobile_Radio;167.85625;167.86875;Oui
PC1 - PARIS CENTRE 1;Private_Mobile_Radio;167.88125;167.96875;Oui
PC1 - PARIS CENTRE 1;Private_Mobile_Radio;167.98125;168.13125;Oui
PC1 - PARIS CENTRE 1;Private_Mobile_Radio;168.14375;168.39375;Oui
PC1 - PARIS CENTRE 1;Private_Mobile_Radio;168.40625;168.44375;Oui
PC1 - PARIS CENTRE 1;Private_Mobile_Radio;168.45625;168.64375;Oui
PC1 - PARIS CENTRE 1;Private_Mobile_Radio;168.65625;168.66875;Oui
PC1 - PARIS CENTRE 1;Private_Mobile_Radio;168.68125;168.74375;Oui
PC1 - PARIS CENTRE 1;Private_Mobile_Radio;168.75625;168.86875;Oui
PC1 - PARIS CENTRE 1;Private_Mobile_Radio;169.81875;169.83125;Oui
PC1 - PARIS CENTRE 1;Private_Mobile_Radio;169.85625;169.89375;Oui
PC1 - PARIS CENTRE 1;Private_Mobile_Radio;169.90625;169.93125;Oui
PC1 - PARIS CENTRE 1;Private_Mobile_Radio;169.96875;169.99375;Oui
PC1 - PARIS CENTRE 1;Private_Mobile_Radio;170.05625;170.13125;Oui
PC1 - PARIS CENTRE 1;Private_Mobile_Radio;170.14375;170.24375;Oui
PC1 - PARIS CENTRE 1;Private_Mobile_Radio;170.25625;170.28125;Oui
PC1 - PARIS CENTRE 1;Private_Mobile_Radio;170.34375;170.39375;Oui
PC1 - PARIS CENTRE 1;Private_Mobile_Radio;170.45625;170.48125;Oui
PC1 - PARIS CENTRE 1;Private_Mobile_Radio;170.49375;170.50625;Oui
PC1 - PARIS CENTRE 1;Private_Mobile_Radio;170.51875;170.60625;Oui
PC1 - PARIS CENTRE 1;Private_Mobile_Radio;170.61875;170.73125;Oui
PC1 - PARIS CENTRE 1;Private_Mobile_Radio;170.74375;170.84375;Oui
PC1 - PARIS CENTRE 1;Private_Mobile_Radio;170.85625;170.95625;Oui
PC1 - PARIS CENTRE 1;Private_Mobile_Radio;170.96875;170.98125;Oui
PC1 - PARIS CENTRE 1;Private_Mobile_Radio;170.99375;171.01875;Oui
PC1 - PARIS CENTRE 1;Private_Mobile_Radio;171.03125;171.10625;Oui
PC1 - PARIS CENTRE 1;Private_Mobile_Radio;171.11875;171.16875;Oui
PC1 - PARIS CENTRE 1;Private_Mobile_Radio;171.18125;171.21875;Oui
PC1 - PARIS CENTRE 1;Private_Mobile_Radio;171.23125;171.25625;Oui
PC1 - PARIS CENTRE 1;Private_Mobile_Radio;171.26875;171.28125;Oui
PC1 - PARIS CENTRE 1;Private_Mobile_Radio;171.29375;171.30625;Oui
PC1 - PARIS CENTRE 1;Private_Mobile_Radio;171.34375;171.35625;Oui
PC1 - PARIS CENTRE 1;Private_Mobile_Radio;171.48125;171.50625;Oui
PC1 - PARIS CENTRE 1;Private_Mobile_Radio;171.53125;171.55625;Oui
PC1 - PARIS CENTRE 1;Private_Mobile_Radio;171.61875;171.63125;Oui
PC1 - PARIS CENTRE 1;Private_Mobile_Radio;171.66875;171.68125;Oui
PC1 - PARIS CENTRE 1;Private_Mobile_Radio;171.69375;171.70625;Oui
PC1 - PARIS CENTRE 1;Private_Mobile_Radio;171.71875;171.73125;Oui
PC1 - PARIS CENTRE 1;Private_Mobile_Radio;171.78125;171.80625;Oui
PC1 - PARIS CENTRE 1;Private_Mobile_Radio;171.81875;172.00625;Oui
PC1 - PARIS CENTRE 1;Private_Mobile_Radio;172.01875;172.03125;Oui
PC1 - PARIS CENTRE 1;Private_Mobile_Radio;172.08125;172.13125;Oui
PC1 - PARIS CENTRE 1;Private_Mobile_Radio;172.14375;172.16875;Oui
PC1 - PARIS CENTRE 1;Private_Mobile_Radio;172.18125;172.25625;Oui
PC1 - PARIS CENTRE 1;Private_Mobile_Radio;172.29375;172.32125;Oui
PC1 - PARIS CENTRE 1;Private_Mobile_Radio;172.35625;172.44375;Oui
PC1 - PARIS CENTRE 1;Private_Mobile_Radio;172.45625;172.46875;Oui
PC1 - PARIS CENTRE 1;Private_Mobile_Radio;172.48125;172.56875;Oui
PC1 - PARIS CENTRE 1;Private_Mobile_Radio;172.58125;172.73125;Oui
PC1 - PARIS CENTRE 1;Private_Mobile_Radio;172.74375;172.99375;Oui
PC1 - PARIS CENTRE 1;Private_Mobile_Radio;173.00625;173.24375;Oui
PC1 - PARIS CENTRE 1;Private_Mobile_Radio;173.25625;173.26875;Oui
PC1 - PARIS CENTRE 1;Private_Mobile_Radio;173.28125;173.34375;Oui
PC1 - PARIS CENTRE 1;Private_Mobile_Radio;173.35625;173.46875;Oui
PC1 - PARIS CENTRE 1;Wireless_Microphones_and_In_Ear_Monitor;179.25;181;Non
PC1 - PARIS CENTRE 1;Wireless_Microphones_and_In_Ear_Monitor;188;189.75;Non
PC1 - PARIS CENTRE 1;Wireless_Microphones_and_In_Ear_Monitor;195;198.5;Non
PC1 - PARIS CENTRE 1;Wireless_Microphones_and_In_Ear_Monitor;200.25;202;Non
PC1 - PARIS CENTRE 1;Wireless_Microphones_and_In_Ear_Monitor;210.75;212.5;Non
PC1 - PARIS CENTRE 1;Wireless_Microphones_and_In_Ear_Monitor;221.25;223;Non
PC1 - PARIS CENTRE 1;Private_Mobile_Radio;403.5;405.5;Oui
PC1 - PARIS CENTRE 1;Telemetry_Telecommand;403.5;405.5;Oui
PC1 - PARIS CENTRE 1;Talkback_System;403.5;405.5;Oui
PC1 - PARIS CENTRE 1;Private_Mobile_Radio;406.1;406.10625;Oui
PC1 - PARIS CENTRE 1;Telemetry_Telecommand;406.1;406.10625;Oui
PC1 - PARIS CENTRE 1;Talkback_System;406.1;406.10625;Oui
PC1 - PARIS CENTRE 1;Private_Mobile_Radio;406.13125;406.14375;Oui
PC1 - PARIS CENTRE 1;Telemetry_Telecommand;406.13125;406.14375;Oui
PC1 - PARIS CENTRE 1;Talkback_System;406.13125;406.14375;Oui
PC1 - PARIS CENTRE 1;Private_Mobile_Radio;406.28125;406.29375;Oui
PC1 - PARIS CENTRE 1;Telemetry_Telecommand;406.28125;406.29375;Oui
PC1 - PARIS CENTRE 1;Talkback_System;406.28125;406.29375;Oui
